,title,location,company,summary,salary,url
566,Specialist Doctors DHA DHCC - Part Time Surgery,Dubai,DRHC Hospital,"Dubai Healthcare City, High class premium Hospital.A well renowned private Hospital, Dubai.Who already practicing in Dubai or in DHCC (having patients).",,https://uae.indeed.com/company/Dr-Rami-Hamed-Center/jobs/Specialist-Doctor-Dha-Dhcc-dfc54512c63906b0?fccid=48b5a6e70371002e&vjs=3
567,Specialist Gastroenterologist (HAAD / Passer),Abu Dhabi,Davidson Management Consultants,"One of the pioneers in the healthcare sector in Abu Dhabi, this hospital in Abu Dhabi has made a name in the region for being leaders in the use of cutting edge…",,https://uae.indeed.com/rc/clk?jk=df0507a0717b6573&fccid=d3f7b35de7842821&vjs=3
569,Senior Business Development Manager (Middle East),Dubai,Norton Rose Fulbright,"And life sciences and healthcare.Senior Business Development Manager, Middle East.The Senior Business Development Manager is a senior managerial role within…",,https://uae.indeed.com/rc/clk?jk=508e4f7d46adbe1f&fccid=13ca7d8a9898b593&vjs=3
571,"Consultant Pulmonologist & Sleep Medicine - Abu Dhabi, UAE",Abu Dhabi,Medacs Healthcare,"Our client is the Middle East's leading provider of specialised long-term care, rehabilitation and home healthcare services and is the regions pioneer in…",,https://uae.indeed.com/rc/clk?jk=40b23ac8cbf3a20b&fccid=aebff11e33fbbd12&vjs=3
572,Critical care medicine/ICU Specialist in UAE,Al-Ayn,Roljobs Technology Services Pvt Ltd,"One of the leading healthcare groups in UAE looking for a passionate "" Specialist Critical Care Medicine"" in Abu Dhabi, UAE location with an attractive salary.",,https://uae.indeed.com/rc/clk?jk=370a800d30999c5f&fccid=fe7d5c0bd56c430a&vjs=3
573,Director of Quality Operations - EPCI,Dubai,Brevan Oil & Gas Services,Comprehensive International Healthcare (free for employees/ premium for dependent(s) • Personal Accident Insurance • Sick Pay – in line with UAE Labour laws •…,,https://uae.indeed.com/rc/clk?jk=08903a9bc290669a&fccid=f45376febb1baa01&vjs=3
574,Head of Sales & Marketing,Ajman,Zoya Health & Wellbeing Resort,We are looking for a high-performing Head of Sales & Marketing to help us meet our customer acquisition and revenue growth targets by keeping our company…,,https://uae.indeed.com/rc/clk?jk=0729f6a0344e0076&fccid=c922002c2bf93594&vjs=3
575,"Team Lead, Senior Intelligence Analyst",Abu Dhabi,Circinus LLC,"100% paid international healthcare plan for you and your family.Circinus, LLC is seeking a Senior Intelligence Analyst (SIA)/Team Lead to support our client's…",,https://uae.indeed.com/rc/clk?jk=3ff3d2efa3cbc008&fccid=71b7d6d7fb33c002&vjs=3
576,Practical Nurse,Dubai,Enayati Home Health Care Center LLC,"LEADERS IN HOME NURSING, Enayati Home Healthcare utilizes JUNO, Fidelity Nursing Training Mannikin by CAE, Montreal Canada.*.","AED4,000 - AED6,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9glK0xKD5q1E0LlS6FtkvHMlFALlP31JBSPUUao8d8Aufb3gWue2rIpc-Jf7WY1I7iXChzmXQLu5bo3Y5FarDf7VBvCOp3kJJE8RFRJNPNqhEnJWWbidC39tchcpLgfkh6H80LzKTDaibnDU1CPY1Rw6nu1BIHcepOn_-8AobaENMmrWGJC31fpZj3uw7yLaE6CH0jdz2V8AyfoUWKHyixJ3FIELNhdLHgGPYzq8oVwxRT-BHSTg8-nTO2D4_wb2KDreuzsteptHGR-zuKRS2qVh8gArGE_qYyBo3V_F3IoQQeouDwYoZQyDLv-MU3nqXO1fSsKzQd3Y4QK7ObLoVvpcRB0A2_-8qmFv2Bv8H4JHY2qDddpD0ErHAddAnD50WxctyHrWkLTbv9Liv3urLPr7bCn6T6D-dJRZX_yRDzNlc53_pu-d7&p=13&fvj=1&vjs=3
577,Nurse or Nurse Assistant,Dubai,Bizramed Centers LLC,BMC is a luxury medical center specializing in Aesthetics and Hair Transplant.We are looking for nurses that meet these criterias:,"AED3,000 - AED4,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUJ3Dd4jJPO767yBnDT9x2phF_1ImaMTbKa1NN0IYFUB1MjouTIzmAHS2D764pvbXjFucGlXY2fEN3Rf-sYr-WlI6ltcYY5H8hMjQqGhCWvlEq7fWz-VUiPmTP7cWcZMnS7EEnOw-xhGf87bDhThsL1cWOEfhe9XDy-TKVKKi3jKzKeMMemdZSZxPhRvsAzEfyNOlrUfvnOo632ep2LW6Pd6ck5R7G2Vyl6fbam2pl7Ge_XNwNgwKbi2dz3GHw0YcYCLV1EhPz88oS_Np_iKdXYJ58KFhslieBYvljwJyzdK26wSSrfzha4eGGe627YGzVWAop_tOLTKncb1s0K4OStlZ3hRACgAGNheP4M5NhlcGPi0_Tr81kHE5sPZz_x_EPARhZsQtxy-mf0Smcn7_OQKVN3XEDKUWiSzQhJKKqirciEebOHbOvOD-oNeAKtMU=&p=14&fvj=1&vjs=3
578,General Physician,Dubai,Trovec Management Consultancy,"You have good working experience in Dubai with reputed Healthcare group.We are looking for a passionate ""General Physician"" in Dubai, UAE location.",,https://uae.indeed.com/company/Trovec-Management-Consultancy/jobs/General-Physician-49484b20d54915bd?fccid=30ea59f4c9f72189&vjs=3
579,DHA registered Nurse,Dubai,DOCIB HEALTHCARE MANAGEMENT,"Bachelor of Nursing/ diploma in Nursing.Maintaining records and data as required from DHA guidelines.Take patient's temperate, pulse, and respiration rate.","AED3,500 - AED4,500 a month",https://uae.indeed.com/company/DOCIB-HEALTHCARE-MANAGEMENT/jobs/Dha-Registered-Nurse-e1d748537b5ea0f9?fccid=558af85d4b1ff541&vjs=3
580,Head of Procurement,Dubai,RTC-1 Employment Services,"Head of Procurement Employment Type:Up to 20,000 AED all inclusive depending on experience and qualifications Job Location:Dubai, UAE About the Client:",,https://uae.indeed.com/rc/clk?jk=af3ece7b1b2a60fd&fccid=a0f4df2b71213d85&vjs=3
581,Business Development Manager,Dubai,Legacy Smart Employment Services,"We require a Business Development Manager for MHG Healthcare, a newly set up company by the Legacy Emirates Group to represent www.miskawaanhealth.com is a…","AED10,000 a month",https://uae.indeed.com/company/Legacy-Smart-Employment-Services/jobs/Business-Development-Manager-d718c5b34710ed3f?fccid=c25ce54bcce758b5&vjs=3
584,Specialist Prosthodontist,Dubai,Search Plus HR,Collaborating with dental and healthcare specialists to develop suitable treatment plans for patients.Examining patients using X-rays and dental instruments to…,,https://uae.indeed.com/rc/clk?jk=c77ba6c7e90814a5&fccid=618066ca5559b1d4&vjs=3
585,IOS Engineer ll (Automation),Dubai,Talabat,"Comprehensive healthcare as well as subsidized gym membership and parking.As part of the Delivery Hero network, Talabat is the pioneer of the online food…",,https://uae.indeed.com/rc/clk?jk=017777ae363627ac&fccid=8948005a95e365ae&vjs=3
586,"NOW HIRING !! Home Care Nurse - up to AED 10,000 - Al Ain",Al-Ayn,CIMS Medica,"Minimum 2 Years of working experience.Must have HAAD License/Eligibility letter.Must have Bachelor’s Degree in Nursing.UP to 10,000 AED /month*.","AED10,000 a month","https://uae.indeed.com/company/Cims-Medica-FZC-LLC,/jobs/Home-Care-Nurse-a4dc9e91d936c1b7?fccid=7f51d8667c592f1e&vjs=3"
587,Full Stack Software Engineer | Armada Infotech,Dubai,ARMADA INFOTECH,This is a fantastic opportunity for an entrepreneurial software engineer looking to join an innovative team striving to change patient lives and revolutionize…,,https://uae.indeed.com/rc/clk?jk=c3181dc5dc615c19&fccid=b5fecaa8313c0019&vjs=3
589,Temp Registered Nurse,Dubai,Fakeeh University Hospital,"Fakeeh University Hospital , a hospital and medical university project, is developed by Saudi Arabia’s leading healthcare provider, Fakeeh Care, in an effort to…",,https://uae.indeed.com/rc/clk?jk=cb9988218b6d0e99&fccid=9594544d39556a7a&vjs=3
590,Pharmacy Technician,Abu Dhabi,Global Human Capital Group,Registration as a Pharmacy Technician with the relevant healthcare authority is desired.At least 2-3 years' experience in the Pharmaceutical field within a…,,https://uae.indeed.com/rc/clk?jk=0201a91b6e55f844&fccid=bc7430ba1024565c&vjs=3
591,Track Technician - Fixed Term,Dubai,Serco Plc,"We are a team of 50,000 people responsible for delivering essential public services around the world in areas including defence, transport, justice, immigration…",,https://uae.indeed.com/rc/clk?jk=e29fada2a2a6200f&fccid=8177021cdb259d9d&vjs=3
592,NURSE/GP/DENTIST & SPECIALIST/PHARMACIST/MEDICAL CODER/RECEP...,Dubai,Houston Clinic,"REQUIREMENT FOR STAFF NURSE/ GENERAL PRACTITIONER ( PART-TIME), DERMATOLOGIST & PATHOLOGIST(PART-TIME), GENERAL DENTIST (FRESHER WILL BE TRAINEE FOR 6 MONTHS or…","AED2,500 - AED6,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoScAF7uFKezAAK1J8diNwTIKaJl3rcS2WA1tzqvf9NBdA7ZoXUkUO-r9f6OK8yN8RzGWuWjGU8GbGVLNHSGDtPyP_qJ7wI41wcTUnA5Mm0LgZjH3NUS8kIttqLXwTxnFdw97e3jw42Rc8ImHuemQBH2Ow35dWBv-bkWAwrLUuj6SUK4mn66qW9X0iUzqXeiWuxcnfZxrD-IKq2CHp95BYgwU3x459LTc-d84vKGrAcQGEN06Is8wfpJwpzev70lUPGFCjonRmyX-_8mP0qAk04py_tfmsI4mo8HZaGKCbsxPshrkWWMZrOXmwTSImPOvKqlFH3bxbSenonH6og7-zfnVXtWZbeQfA2rf1wMp59B6_UocoBFcYFclZtefXMKjTdYSFb7UdPTVwbOqDcjMf4mmwYcw7hmEIBJDgto8tTMVvzvkWuRY4DxSnTqa9ZUC3faUV8AFc9uf78axDinrTex20ucZGo2h5cxcPw5G9SA==&p=14&fvj=1&vjs=3
593,Palliative Care Consultant - Abu Dhabi,Abu Dhabi,Medacs Healthcare,A wonderful opportunity available for an experienced Palliative Care Consultant in Abu Dhabi!We are currently looking for a Palliative Care Consultant for an…,,https://uae.indeed.com/rc/clk?jk=d92c7fb496f7fe22&fccid=aebff11e33fbbd12&vjs=3
594,Registered Nurse,Dubai,"HealthPlus Fertility Center, Dubai",NLT 2 year clinical experience inappropriate & relevant healthcare settings post qualification.The Nurse performs duties as delegated by the Senior Registered…,"AED5,000 a month","https://uae.indeed.com/company/HealthPlus-Fertility-Center,-Dubai/jobs/Registered-Nurse-22256942350daeaa?fccid=092f6eaf35398d93&vjs=3"
597,Specialist Anesthesiologist (DHA eligibility/DHA license),Dubai,Roljobs Technology Services Pvt Ltd,"Currently, we have an excellent opportunity for "" Anesthesiologist "" profile who are looking out for better career prospects to work with one of the leading…",,https://uae.indeed.com/rc/clk?jk=8e157342ceaa2aae&fccid=fe7d5c0bd56c430a&vjs=3
598,ICU Intensive Care Unit Nurse - Abu Dhabi,Abu Dhabi,Medacs Healthcare,An outstanding opportunity available for a number of experienced ICU Nurses based in the United Arab Emirates;,,https://uae.indeed.com/rc/clk?jk=a9c559a8b44890f5&fccid=aebff11e33fbbd12&vjs=3
599,GYNECOLOGIST,Ras al-Khaimah,Agile Consultants,"With broad knowledge of his/her area of specialty and hospital or healthcare administration including policies, procedures, and standard medical practices…",,https://uae.indeed.com/rc/clk?jk=0f08fe2b8c1719fb&fccid=77c9346a7686f482&vjs=3
600,DevOps Software Engineer,Dubai,HALZA SOFTWARE SOLUTION LLC.,"Founded in 2015, Halza, is THE COOL, Innovative next-Generation Digital Healthcare company.We have developed an absolute UNIQUE ecosystem, allowing you to…",,https://uae.indeed.com/company/HALZA-SOFTWARE-SOLUTION-LLC./jobs/Devop-Software-Engineer-3912a1baeab7464b?fccid=469882136a4bf429&vjs=3
601,Catering Supervisor Healthcare,Dubai,Reliant HR,"Hospital or healthcare experience mandatory.Looking for Female Catering Supervisor for Hospital.Salary will be 2000+500 and food, accommodation + transport…","AED2,500 a month",https://uae.indeed.com/company/reliant-hr/jobs/Catering-Supervisor-Healthcare-6046ecca9db3775d?fccid=db6e78fdca4587a2&vjs=3
603,Marketing and Sales - Marketing Specialist,Dubai,Royal Brand Corporation,"We help companies and Individuals to protect their IPR in the UAE, Qatar, Oman, Bahrain and Kuwait through our offices, our clients are leaders and innovators…",,https://uae.indeed.com/rc/clk?jk=606aeb4304e7e418&fccid=a5085e7e52c3d148&vjs=3
604,Dental Technician,Sharjah,Bin Haian Healthcare group,"We Need experinced dental technician of all specialities:Ceramic,emax,wax up, plaster and CAD/CAM tech.Personal protective equipment provided or required.",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHQqMcmqEs6FadTiMBBh_COFAus-3m3dsoTsGQG7CJcKfFKtJMZvuoAevOmIBYhcELmom1gAQ1am65C0zibYjMRp9ccgieGd0udjsnX1DiBEwcIHQI4Y5sG0CC7Q64usLuKFr6qQwNs8_zLFSAfNGQZatg91XfxeHRhH_pNWS29DSbEX7pK0pAG8yO9QS-t0kMEgXlZh9idr6TOyCm111pSozOiKPfHgE7A1pRc18olY-wNsfSmq7Bimr42pUEHIYE9McDyUE4KfSqbm26K4MDsI0iRRPk_54l-kcsdCLEHHWqRHm9TQAYMp_UHk17vy2jx7MQLZveqPpSsVRLce9g6yV3QW2AVNodyZh5MSs99_ux9jx1fREHycKunD5V_pVYoQo5CGo-zqEr6ybI2VbjkirBcOhdg_K0NcXy6VxFDdc2fRgpeAs1ghb5SzRdG3w=&p=11&fvj=1&vjs=3
605,Home Care - Team Leader,Al-Ayn,Black Pearl Consult,"Our client, a well-known healthcare facility based in UAE is looking for Homecare -Team Leader for their Home Healthcare unit based in Abu Dhabi and Al Ain.",,https://uae.indeed.com/rc/clk?jk=8bac9e044c2e5ecb&fccid=e9d731aa91b2d791&vjs=3
606,Registered Nurse,Dubai Healthcare City,Imperial Healthcare,We are currently looking for another Registered Nurse to join our team.Ophthalmology experience is a plus but not required.,"AED4,500 - AED5,000 a month",https://uae.indeed.com/company/Imperial-Healthcare/jobs/Registered-Nurse-64c62c38e838d2b0?fccid=015769812c3ad77a&vjs=3
607,Private Duty Nurse for Home Care,Dubai,Via Medica Intl,Via Medica International Healthcare is urgently hiring for Nurse Assistant(s) to join our Home Care Division Dubai Branch.60 Hours Required Per Week.,,https://uae.indeed.com/rc/clk?jk=c947707535bd3ee7&fccid=03a1b11f55201a40&vjs=3
608,Radiology Technician,Dubai,Al-Futtaim,"Al-Futtaim is now entering the healthcare sector.As a humble family business that started on the banks of the Dubai Creek in the 1930s, Al-Futtaim has expanded…",,https://uae.indeed.com/rc/clk?jk=23d403d573fb1e79&fccid=b5139e4031867414&vjs=3
609,Senior Engineering Manager,Dubai,Talabat,"Comprehensive healthcare as well as subsidized gym membership and parking.As part of the Delivery Hero network, Talabat is the pioneer of the online food…",,https://uae.indeed.com/rc/clk?jk=6c19cbd7cf162af4&fccid=8948005a95e365ae&vjs=3
610,"Physiotherapist - Al Ain, UAE",Al-Ayn,MPA Recruitment,MPA Recruitment has been appointed by a large Healthcare Group to source a Physiotherapist to join their team in Al Ain.,,https://uae.indeed.com/rc/clk?jk=1501fb2ed918034e&fccid=d0649e01aeeb8571&vjs=3
612,Nurse,Al-Ayn,Urgent Care Medical Center,"Providing suggestions for improved healthcare to physicians.As a home care nurse, you will be performing patient visits and monitoring their conditions,…",,https://uae.indeed.com/company/Urgent-Care-Medical-Center/jobs/Nurse-a802c90ad73bbf02?fccid=b592a5cee9555c2a&vjs=3
613,Pediatric Surgeon Specialist,Dubai,Healthcare Factor Specialist,Hospitals & Medical Centers is hiring an experienced and passionate Consultant/Specialist in Pediatric Surgery to join our team in Dubai.,,https://uae.indeed.com/company/Picnic-Life-Tours-and-Travels-LLC/jobs/Pediatric-Surgeon-Specialist-a7d95bb69c0090a8?fccid=16915d9864d6b347&vjs=3
614,Consultant/Specialist Emergency Medicine,Dubai,Valiant Clinic,"Valiant Clinic and Hospital provides a work environment based on collegiality, high quality standards of patient care with patient trust and ethical care as the…",,https://uae.indeed.com/company/Valiant-Clinic/jobs/Consultant-Specialist-Emergency-Medicine-f854f5d271a9c206?fccid=739fc8c0bd3bdd16&vjs=3
617,ENDOSCOPY TECHNICIAN,Abu Dhabi,NMC Healthcare,NMC Healthcare is the largest private healthcare company in the UAE and ranks amongst the leading fertility service providers in the world.,,https://uae.indeed.com/rc/clk?jk=ed3fc119f91ddb5d&fccid=d59f4719f5b1f6db&vjs=3
618,"Paediatric Physiotherapist - Al Ain, United Arab E",Al-Ayn,Medacs Healthcare,"We are currently looking for Paediatric Physiotherapists for a new paediatric facility in Al Ain, United Arab Emirates.Our client focuses on rehabilitation,…",,https://uae.indeed.com/rc/clk?jk=9a22efe011487d9e&fccid=aebff11e33fbbd12&vjs=3
620,Arab Female Dermatologist,Abu Dhabi,Roljobs Technology Services Pvt Ltd,"A leading player in the healthcare industry, Due to business growth and development, they are seeking few Arab Female Dermatologist.",,https://uae.indeed.com/rc/clk?jk=36a470d47564ca68&fccid=fe7d5c0bd56c430a&vjs=3
621,"Director, QHSES Risk and Assurance - Dubai",UAE,Brevan Oil & Gas Services,Comprehensive International Healthcare (free for employees/ premium for dependent(s) • Personal Accident Insurance • Sick Pay – in line with UAE Labour laws •…,,https://uae.indeed.com/rc/clk?jk=c9065a454ed4b763&fccid=f45376febb1baa01&vjs=3
622,Massage Therapist - Western,Dubai,Trovec Management Consultancy,"A leading Multispecialty Medical Fitness Centre in Dubai, which offers the most advanced healthcare services that used the latest technologies and therapeutic…","AED10,000 a month",https://uae.indeed.com/company/Trovec-Management-Consultancy/jobs/Massage-Therapist-cea69d499d2c1844?fccid=30ea59f4c9f72189&vjs=3
624,Director - Turnaround Restructuring - Industrial Asset Heavy...,Abu Dhabi,NSI & Bluefin Talent,"One of the fastest-growing Sovereign Wealth Fund companies with a broad portfolio of various companies in key sectors such as EUR, Healthcare, food, and…",,https://uae.indeed.com/rc/clk?jk=0a685a06ada1c442&fccid=9f0325263e4326df&vjs=3
627,REGISTERED NURSE with UAE LICENSE,Al-Ayn,REPUTED HEALTHCARE COMPANY,Visit/ Cancelled/ Sponsored Visa or outside UAE are welcome to Apply.HAAD/DOH license or passer holder.DHA and MOH license holder may apply.,"AED8,000 - AED10,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bf2OeAZFs5o6_7HrQ9qSShuHvPdNlaaNXkeOqs9OhAZrJLQUB4Ueja-i_tCRR3qgkbl_kinbnlV73FiI2kxuRMRvXWGkb6qCegzpBnm3cFeQqFXkejkYKyO9NlG-UCoY5q0P5McsN2nu9LF5eNc5aEh5u5v9D13L0WgT73V-XNtg9IjKk3ohjNZxv9WRHuKDza0xkYkSgMtvS9Q0_6F6jINub4UHBgmoyTlDDyFI41sbC8vjyo0cnKGUQU5Fp7neHISyQGqgdgjeTtWWuSuSCjES62Mvna-cawjRoUo5EOzJFSmMJ4sEf8yZKHCHmt5xcQ630BlUiJO4fDLc9QtUS6i8vwG-KKb0Yt1SIrtqiszUh1RP1ANcqNttkLNSty0ZW3-HUGz2kDbI7ZAwTu1ZOY5nQSwxoL98mn-KCA-BeWaej5f4j8Em_9ohUOD6h8pJxOwW9FeZpkQA==&p=4&fvj=1&vjs=3
630,Nurse Assistant with DHA License/ Eligibility,Dubai,Nurseco Home Healthcare LLC,Nurseco Home Nursing Company in Dubai seeking an experienced Female and Male Nurse Assistant with DHA License/ Eligibility.,,https://uae.indeed.com/company/Nurseco-Home-Healthcare-LLC/jobs/Nurse-Assistant-Dha-License-5f6b6314696a5c27?fccid=f6e1cd704fba27d8&vjs=3
631,Registered Nurse,Dubai,VP DOCTOR and Ambulances,We are number 1 healthcare company in UAE having a team of qualified medical service providers including license doctors and nurses.Vacancy is for Abu Dhabi.,,https://uae.indeed.com/company/VIP-Doctor/jobs/Registered-Nurse-e1a2e1832e2544a8?fccid=1e9e153f6500f2ef&vjs=3
633,Laboratory Technician (Afghanistan / Mali),Dubai,Iqarus,Iqarus delivers intelligent and integrated healthcare solutions in complex and demanding operating environments.At least 5 years post graduate experience.,,https://uae.indeed.com/rc/clk?jk=a1424a7b6b964689&fccid=63ead7dc1c6f4cde&vjs=3
635,CLINICAL PSYCHOLOGIST,Dubai,Dubai Herbal & Treatment Centre,"Carrying out applied research, adding to the evidence base of practice in a variety of healthcare settings.Should be Specialized in adult individual or child…",,https://uae.indeed.com/rc/clk?jk=747b0c5e9691ed06&fccid=29e196e7edf04f8a&vjs=3
636,"Assistant, Associate Professor, or Full Professor of Graphic...",Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries, housing, a furniture allowance, annual vacation airline tickets for the…",,https://uae.indeed.com/rc/clk?jk=adb0330f79b48cfb&fccid=9628b0bd10bde506&vjs=3
637,Field Business Development Manager - Channel & Alliances - M...,Dubai,Confluent,"This shift is opening up unprecedented opportunities across industries from Financial Services, Healthcare to Manufacturing and Retail.",,https://uae.indeed.com/rc/clk?jk=7eaa73385832564a&fccid=281afef2f966dcf1&vjs=3
638,Consultant/Specialist Physician (Egypt nationals only),Abu Dhabi,Iqarus,"Iqarus has a proud history, extending over 40 years, of delivering fully-integrated healthcare solutions in complex and demanding operating environments.",,https://uae.indeed.com/rc/clk?jk=0e12cc586704cfa5&fccid=63ead7dc1c6f4cde&vjs=3
639,Consultant/Specialist Physician (Jordan nationals only),Abu Dhabi,Iqarus,"Iqarus has a proud history, extending over 40 years, of delivering fully-integrated healthcare solutions in complex and demanding operating environments.",,https://uae.indeed.com/rc/clk?jk=20611295ac31b517&fccid=63ead7dc1c6f4cde&vjs=3
642,Male DHA/MOH RN for School,Umm al-Quwain,Via Medica Intl,"Provide healthcare to students and staff by performing health screenings, coordinating referrals to private healthcare providers.",,https://uae.indeed.com/rc/clk?jk=fb539c4fee42e553&fccid=03a1b11f55201a40&vjs=3
643,NURSE (OFFSHORE),Abu Dhabi,SOS HR,A leading healthcare management company based in Abu Dhabi is looking forward to recruit Nurse for offshore location.,,https://uae.indeed.com/rc/clk?jk=3059522bd458af1b&fccid=8bf55217767d8165&vjs=3
644,Paediatric Nurse - Abu Dhabi,Abu Dhabi,Medacs Healthcare,An outstanding opportunity available for a number of experienced Paediatric Nurses in the United Arab Emirates;The hospital offers the following benefits:,,https://uae.indeed.com/rc/clk?jk=0743b2fc6353fd4e&fccid=aebff11e33fbbd12&vjs=3
645,METAI Flow Application Manager,Dubai,Beckman Coulter Life Sciences,Beckman Coulter Life Sciences’ mission is to empower those seeking answers to life’s most important scientific and healthcare questions.,,https://uae.indeed.com/rc/clk?jk=434df29aec9e4405&fccid=432c7642003cc768&vjs=3
646,MRI Technologist,UAE,Manpower Middle East,"Industry Healthcare, Hospital & Medical Services.3-5 years experience within the Healthcare industry.6-12 month renewable contract • DHA or MOHAP licenced • 3…",,https://uae.indeed.com/rc/clk?jk=7f3a69f22e2581c5&fccid=1a17983a910f73d8&vjs=3
648,Supervisor for Post Tensioning Works,Dubai,Omni International,"For over 15 years Omni International Consultants has supplied high caliber personnel to the global Construction, Aviation, Banking, Logistics, IT, Hospitality,…",,https://uae.indeed.com/rc/clk?jk=9327c825cb5818a7&fccid=eb525ce63ed76336&vjs=3
650,Fortinet / Palo Alto Security Consultant,Dubai,Halian - UAE,"Our knowledge base covers a variety of industry sectors including Government, Healthcare, Telecommunications and Pharmaceuticals, as well as a specialist…",,https://uae.indeed.com/rc/clk?jk=c0be5d909b2be6cf&fccid=57544703f0a3fc01&vjs=3
651,Microsoft EPM Consultant,Dubai,Najma Consultancy -,A Reputed Healthcare Company is Looking for Microsoft EPM Professionals in Dubai.Certified or Good knowledge in Microsoft EPM(mandatory).,,https://uae.indeed.com/company/Najma-HRC/jobs/Microsoft-Epm-Consultant-b361171e5cce1f5f?fccid=38157b8c6e5ce713&vjs=3
652,Dental Technician,Sharjah,Bin Haian Healthcare group,"We Need experinced dental technician of all specialities:Ceramic,emax,wax up, plaster and CAD/CAM tech.Personal protective equipment provided or required.",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHQqMcmqEs6FadTiMBBh_COFAus-3m3dsoTsGQG7CJcKfFKtJMZvuoAevOmIBYhcELmom1gAQ1am65C0zibYjMRp9ccgieGd0udjsnX1DiBEwcIHQI4Y5sG0CC7Q64usLuKFr6qQwNs8_zLFSAfNGQZatg91XfxeHRhH_pNWS29DSbEX7pK0pA7SLpSvuiBs7UEMqvj05uYs4KVR-Y2ZeUlDGCnRF7anOSiGdZ0PFmtH5O5n3kSOmRD2Q9C0HesrLU-Byc5NyLPRKgiPlaip7s7GOweW8fmltsQdp7rmZdW37Byf7yIOCySXKM5mJJK4WLgWZFn5-8TB7BwS4WNrMnH-pk3HcMqNPMtgSgEjiCca9GkcP_iG0EmIdOONUnPuRBZfgd2J1bnqbOXt00WyUpiUk_99UqGSWgcq4ym-kPAwCIuTKxTjj7WnXJaCTZqII=&p=14&fvj=1&vjs=3
654,Strategic Account Lead,Dubai,Bollore Logistics,"The commitment within teams allows Bollor Logistics LLC to offer a broad range of services and tailor made solutions to sectors such as aerospace, oil & gas,…",,https://uae.indeed.com/rc/clk?jk=326b480987cce76b&fccid=f31da027f8f723fa&vjs=3
655,HVAC Technician,Dubai,ENGIE Cofely,ENGIE Cofely is a regional and international leader in providing low-carbon energy and innovative integrated facilities management solutions in various sectors…,,https://uae.indeed.com/rc/clk?jk=4965253c8f658864&fccid=5c7269b92dca116c&vjs=3
656,Finance Manager,Dubai,RTC-1 Employment Services,"The hiring company is one of the leading dental healthcare providers in Dubai.Male, 45 years old and below • Bachelor’s degree in Finance, Accounting,…",,https://uae.indeed.com/rc/clk?jk=86f1f6d46e729195&fccid=a0f4df2b71213d85&vjs=3
657,physiotherapist,Dubai,Healthserve Home Healthcare,A progressive home care company is looking for a temporary/locum female physiotherapist to provide physiotherapy sessions to the patients at their residences…,"AED3,000 a month",https://uae.indeed.com/company/healthserve-home-healthcare/jobs/Physiotherapist-c2eb6b236b246041?fccid=278c0f46c0195410&vjs=3
659,DHA License/ Eligibility Staff Nurse,Dubai,Nurseco Home Healthcare LLC,Home Nursing Company in Dubai seeking an experienced Female and Male Nurse with DHA License/ Eligibility.2 years recent hospital experience or in home care.,"AED5,000 - AED7,000 a month",https://uae.indeed.com/company/Nurseco-Home-Healthcare-LLC/jobs/Dha-License-2bacd5e1bafc7a0e?fccid=f6e1cd704fba27d8&vjs=3
660,Echocardiography Sonographer,UAE,Manpower Middle East,"Industry Healthcare, Hospital & Medical Services.3-5 years experience within the Healthcare industry.6-12 month renewable contract • DHA or MOHAP licenced • 3…",,https://uae.indeed.com/rc/clk?jk=a4a78174201a88d6&fccid=1a17983a910f73d8&vjs=3
661,Pharmacist (DHA License Only),Dubai,NOVA HEALTHCARE,"We are looking for a moh and DHA licensed pharmacist, please email your resume on hr@novohealthcare.Social distancing guidelines in place.","AED3,000 - AED4,000 a month",https://uae.indeed.com/company/NOVA-HEALTHCARE/jobs/Pharmacist-9e3a3774ec9daa18?fccid=f8c29064ef468065&vjs=3
662,General Practitioner - MOH,Sharjah,Top Creative Management Consultancy,"Our Client, A well reputed Healthcare Clinic in Sharjah is urgently looking for General Practitioner - MOH.HINDI SPEAKING MANDATORY FOR THIS JOB..","AED8,000 a month",https://uae.indeed.com/company/Top-Creative-Management-Consultancy/jobs/General-Practitioner-cfeba0e306e8644b?fccid=4b2d3f88aa9f9e7f&vjs=3
663,Consultant Internal Medicine | Gastroenterology,Abu Dhabi,Global Human Capital Group,At least 1 year Consultant level experience from a Tier 1 country as specified by the UAE healthcare regulator.CONSULTANT INTERNAL MEDICINE | GASTROENTEROLOGY.,,https://uae.indeed.com/rc/clk?jk=0c556eee63150f38&fccid=bc7430ba1024565c&vjs=3
